Shipment Creation Date,Shipment ID,shipmentType,SKU,MSKU,ASIN,Custom ID,Title,Shipment Tracking ID,Customer Order ID,Units,Status,Order Value,ExSD,Assigned to picklist,Packed,Actual Shipout Date,Hazmat,SerialNumber,Expiry,Gift Msg,Gift Wrap,isFastTrack,Channel
31-Jul-2025,Unk9V8Kbf,Customer,EF6cOqeaOc,IN-Tasty fry 5.5,B0D795TSHM,,"Inalsa Air Fryer For Home|5.5 L Capacity|1600 W With Smart Aircrisp Technology|Quick Heat Circulation|4-In-1 Appliance With 8 Preset Menu & Digital Display,Tasty Fry 5.5, Black",362440203138,403-6430620-6828356,1,Manifested,4437.63,01-Aug-2025 04:00 PM,01-Aug-2025 10:25 AM,01-Aug-2025 12:49 PM,01-Aug-2025 04:46 PM,False,False,,False,False,False,FBA
31-Jul-2025,UcRMhBXsf,Customer,EXZNv4WQBX,Cr-CF-Uranus-Ivory,B00JGQ3KVK,,Crompton Uranus 1200 mm (48 inch) Decorative Ceiling Fan with Lights (Ivory) (URANUS1200IVY),362440021336,408-3370474-8981132,1,Manifested,8687.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:25 AM,01-Aug-2025 12:43 PM,01-Aug-2025 04:37 PM,False,False,,False,False,False,FBA
31-Jul-2025,UNgdhLXdf,Customer,EtAwdGFU0t,LZ-0AIR-C1IX,B0CKHQC9YM,,"Sujata Powermatic Maxima 900 Watts All-In-One Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 3 Versatile Jars 1750 Ml, 1000 Ml And 400 Ml, White",362442222014,404-1850218-6547560,1,Manifested,6140.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 02:12 PM,01-Aug-2025 04:48 PM,False,False,,False,False,False,FBA
31-Jul-2025,UGxChdXNf,Customer,E9NN98FoFv,J9-NB5P-JQ5T,B077VRCNF1,,Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 2 Versatile Jars 1750 ml and 1000 ml,362441819567,403-1616753-5487508,1,Manifested,5541.25,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 01:53 PM,01-Aug-2025 04:47 PM,False,False,,False,False,False,FBA
31-Jul-2025,U1Jdb1KZf,Customer,EtAwdGFU0t,LZ-0AIR-C1IX,B0CKHQC9YM,,"Sujata Powermatic Maxima 900 Watts All-In-One Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 3 Versatile Jars 1750 Ml, 1000 Ml And 400 Ml, White",362470733049,403-9114513-9119569,1,Manifested,6150.00,02-Aug-2025 04:00 PM,02-Aug-2025 10:14 AM,02-Aug-2025 02:34 PM,02-Aug-2025 04:41 PM,False,False,,False,False,False,FBA
31-Jul-2025,UCjgRPKmf,Customer,EtAwdGFU0t,LZ-0AIR-C1IX,B0CKHQC9YM,,"Sujata Powermatic Maxima 900 Watts All-In-One Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 3 Versatile Jars 1750 Ml, 1000 Ml And 400 Ml, White",362439288610,408-2344415-6510769,1,Manifested,6186.55,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 12:18 PM,01-Aug-2025 04:40 PM,False,False,,False,False,False,FBA
31-Jul-2025,UVkBfrX5f,Customer,EsDOSuCe8s,B1-YAPD-RJYC,B0CJ2SHMNH,,"Hafele Chromatic Hand Blender, 9 Variable Speed Control Functions, Rapid Turbo Mode Technology, Stainless Steel, Low Noise,100% Copper Motor, 600 Watts",362442738966,171-1603493-1729906,1,Manifested,2429.03,01-Aug-2025 04:00 PM,01-Aug-2025 10:26 AM,01-Aug-2025 02:45 PM,01-Aug-2025 05:01 PM,False,False,,False,False,False,FBA
31-Jul-2025,UVpSfhXdf,Customer,ET9F6lD5C4,KD-ZFPH-SAWQ,B0CX5K2J6G,,Wonderchef Oven Toaster Griller (OTG)|21 litres|Auto-Shut Off|Heat Resistant Tempered Glass|LED Lighting|Multi-Stage Heat Selection|1400 W|Bake|Grill|Roast|Easy to Clean|2 Years Warranty,362439852965,402-9802180-7279551,1,Manifested,4599.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 12:38 PM,01-Aug-2025 04:40 PM,False,False,,False,False,False,FBA
31-Jul-2025,U3mWffXTf,Customer,EtAwdGFU0t,LZ-0AIR-C1IX,B0CKHQC9YM,,"Sujata Powermatic Maxima 900 Watts All-In-One Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 3 Versatile Jars 1750 Ml, 1000 Ml And 400 Ml, White",362442237698,402-1569343-9632364,1,Manifested,6140.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 02:13 PM,01-Aug-2025 04:49 PM,False,False,,False,False,False,FBA
31-Jul-2025,UGVCfdXPf,Customer,E57XTRGvzh,6.7601,B0031NG9CG,,"Victorinox Swiss Made Stainless Steel Swiss Classic Paring Knife, Straight Edge, Kitchen Tool, Kitchen Item, 8 cm, Red, 6.7601",362442730236,405-0758085-4385913,1,Manifested,534.20,01-Aug-2025 04:00 PM,01-Aug-2025 10:26 AM,01-Aug-2025 02:44 PM,01-Aug-2025 04:55 PM,False,False,False,False,False,False,FBA
31-Jul-2025,UCgphJXJf,Customer,ENg0xvXO0W,7.6081.1,B06XRGV1X1,,"Victorinox Kitchen Grater, Coarse-Grained",362442414310,405-2226179-4310766,1,Manifested,1135.50,01-Aug-2025 04:00 PM,01-Aug-2025 10:26 AM,01-Aug-2025 02:24 PM,01-Aug-2025 04:55 PM,False,False,,False,False,False,FBA
31-Jul-2025,Un49jZXCf,Customer,EWst7yDdOP,Sujata poermatic plus,B07V1RFXSM,,Sujata Powermatic Plus 900 Watts Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 2 Versatile Jars 1750 ml and 1000 ml,362439130209,405-4067258-1656317,1,Manifested,5554.50,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 12:12 PM,01-Aug-2025 04:34 PM,False,False,,False,False,False,FBA
31-Jul-2025,UJDBZ2XPf,Customer,EfyXWv8xFc,inal-IN90200079,B0979BT98Q,,"INALSA Hand Blender Mixer|1000W DC Motor|Low Noise|20 Speed Control with Turbo Function|BPA Free|Stainless Steel Rod & Blades|Detachable Stem For Cleaning and storage|2 Yr Warranty, Robot Inox 1000ES",362440042027,171-4929871-1290720,1,Manifested,1809.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:25 AM,01-Aug-2025 12:44 PM,01-Aug-2025 04:53 PM,False,False,,False,False,False,FBA
31-Jul-2025,UVvhjvXkf,Customer,E7Wxg3PEWJ,HR-9RYL-FE27,B00E5D9U5O,,"BERGNER Argent TriPly 24cm Frypan/Steel Pan, Scratch Resistant, for Spice Tempering/Seasoning, Less Oil Use, Healthy Cooking, Stay Cool Long Handle, Easy to Clean - Induction and Gas Stove Ready",362442638617,171-7549375-4836348,1,Manifested,2279.95,01-Aug-2025 04:00 PM,01-Aug-2025 10:26 AM,01-Aug-2025 02:37 PM,01-Aug-2025 04:49 PM,False,False,,False,False,False,FBA
31-Jul-2025,UC7hZxXTf,Customer,EtTkB62LQa,740311,B0CZTSWMZZ,,Bajaj IRX 220F Infrared Induction Cooktop | 2200 Watts | 11 Power Level | 3 Preset Menu | Feather Touch Controls | Digital display | 1 Yr Warranty 【Black/Silver】,362438573953,402-5230155-8322708,1,Manifested,3162.40,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 11:53 AM,01-Aug-2025 04:40 PM,False,False,,False,False,False,FBA
31-Jul-2025,UwJ9vtmFh,Customer,Eh0hGd27K9,BERG-BGIN-6244,B0CW36DBZZ,,"Bergner BE Essentials TriPly Stainless Steel 18cm Rice Handi with Lid, Steel Medium Size Rice Handi, Even Heat Distribution, Non-Toxic, Healthy, Less Oil Use - Induction and Gas Stove Ready",363031408932,404-5060316-6438745,1,Manifested,1788.01,26-Aug-2025 04:00 PM,26-Aug-2025 10:29 AM,26-Aug-2025 12:34 PM,26-Aug-2025 04:21 PM,False,False,,False,False,False,FBA
31-Jul-2025,U1MN5zXjf,Customer,EtAwdGFU0t,LZ-0AIR-C1IX,B0CKHQC9YM,,"Sujata Powermatic Maxima 900 Watts All-In-One Juicer Mixer Grinder | 22000 Rotations Per Min | 90 Minutes Continuous Running | 3 Versatile Jars 1750 Ml, 1000 Ml And 400 Ml, White",362439321409,402-1339914-3893952,1,Manifested,6150.00,01-Aug-2025 04:00 PM,01-Aug-2025 10:24 AM,01-Aug-2025 12:19 PM,01-Aug-2025 04:33 PM,False,False,,False,False,False,FBA
31-Jul-2025,UN1S7KKTf,Customer,EyFdhJlUKJ,98056011,B0D28HQNZR,,"TRAMONTINA Plenus Stainless Steel Cleaver Knife/, 12cm/4.7"" | Grey | Straight/Plain Edge Knife | Polypropylene Handle | Dishwasher Safe | 5 Year Warranty* | Made in Brazil",362442833012,171-8375778-2998768,1,Manifested,458.35,01-Aug-2025 04:00 PM,01-Aug-2025 10:26 AM,01-Aug-2025 02:51 PM,01-Aug-2025 04:55 PM,False,False,,False,False,False,FBA
