shipment-date,sku,asin,fulfillment-center-id,original-fulfillment-center-id,quantity,replacement-reason-code,replacement-amazon-order-id,original-amazon-order-id,,,
2025-11-06T04:00:00+04:00,04-ZLNL-EPRH,B0BBRRRXBY,CCX1,CCX1,1,3,408-9642571-1751548,405-2461431-5558759,,,
2025-11-06T04:00:00+04:00,23861106,B00PLBVRXW,HYD8,HYD8,1,2,408-6537209-3104332,406-6414839-2657904,,,
2025-11-06T04:00:00+04:00,6.7601,B0031NG9CG,DEL5,DEL5,1,3,408-5820145-2451565,406-6371611-2793168,,,
2025-11-06T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,HYD8,HYD8,1,2,408-8542134-1452327,404-1791582-6408304,,,
2025-11-06T04:00:00+04:00,F1-Z38L-0TEH,B00LP7FV9W,HYD3,HYD3,1,4,408-2797377-7394751,405-3477213-0374746,,,
2025-11-06T04:00:00+04:00,pana-Rice &amp; Pasta Cookers-450 W,B09QGWFL57,BLR8,BLR8,1,2,408-8380295-8755508,406-8982313-5498701,,,
2025-11-06T04:00:00+04:00,INLIN91500030,B0C7QT1433,DEL4,DEL4,1,0,171-3577268-0878744,407-9205384-4441147,,,
2025-11-06T04:00:00+04:00,23854105,B00NF1KV00,BLR7,BLR7,1,4,408-2205811-3452324,406-7383907-4853115,,,
2025-11-06T04:00:00+04:00,INLSIN90200047,B07CVR2L5K,BOM5,BOM5,1,2,408-1766829-1007562,402-8825133-9925943,,,
2025-11-06T04:00:00+04:00,O4-7Y1H-HWLC,B01N19BEFD,MAA4,MAA4,1,2,408-9892493-0269101,405-7266612-2844331,,,
2025-11-06T04:00:00+04:00,INLIN91500030,B0C7QT1433,DEL4,DEL4,1,10,403-9585926-7061966,171-0275005-4689110,,,
2025-11-06T04:00:00+04:00,DYSN-HP07-BK,B09FVLM2F4,HYD3,HYD3,1,0,408-5042087-0461949,405-5605970-1828322,,,
2025-11-06T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BLR8,BLR8,1,2,408-3680505-2782730,405-7444728-2042752,,,
2025-11-06T04:00:00+04:00,ZY-H7FS-F5WY,B007PZKMSI,CCX2,CCX2,1,0,405-4709933-4103501,406-3669920-3411518,,,
2025-11-06T04:00:00+04:00,BERG-BGIN-6259,B0CW37G5G1,IDX2,IDX2,1,2,408-6243377-5413950,408-2179061-8602752,,,
2025-11-06T04:00:00+04:00,IN-Hand Blender-1500W,B0DJGTRT51,BLR8,BLR8,1,10,408-4124419-7460316,403-2717816-4081953,,,
2025-11-06T04:00:00+04:00,INLIN90000024,B0CDXCNR8Q,DED4,DED4,1,2,408-1431128-0005122,402-4215523-2316326,,,
2025-11-06T04:00:00+04:00,UJ-F83M-0AO8,B07JFHGNFM,QWTT,QWTT,1,0,403-9838848-1054761,402-1284420-5870723,,,
2025-11-06T04:00:00+04:00,INALSA Crisp Pro 18,B0FN837HDS,QWTT,QWTT,1,0,408-5693669-9007530,171-5007042-3897145,,,
2025-11-06T04:00:00+04:00,INLSIN91500026,B0BR9TJ17H,QWTT,QWTT,1,0,402-1260523-7837908,407-4681398-8227501,,,
2025-11-06T04:00:00+04:00,ZV-5QS3-0PWA,B0CPHZW9X1,QWTT,QWTT,1,0,408-0987101-7810748,406-4225602-8269167,,,
2025-11-06T04:00:00+04:00,Bullet,B0DZ2VXTL3,QWTT,QWTT,1,2,408-2123651-2460342,405-2943306-3998764,,,
2025-11-05T04:00:00+04:00,3W-POHK-FCYR,B07JGNN8DC,HYD8,HYD8,1,0,406-1999175-1074763,403-7560750-2363505,,,
2025-11-05T04:00:00+04:00,04-ZLNL-EPRH,B0BBRRRXBY,MAA4,MAA4,1,10,408-2609946-1465904,402-6994926-0860362,,,
2025-11-05T04:00:00+04:00,pana-Rice &amp; Pasta Cookers-450 W,B09QGWFL57,BOM7,BOM7,1,2,408-4112799-2321169,402-6579085-7432305,,,
2025-11-05T04:00:00+04:00,INLSIN90200047,B07CVR2L5K,BOM5,BOM5,1,0,402-8941125-0477105,407-8629298-6959550,,,
2025-11-05T04:00:00+04:00,6.7832,B001U57228,DED4,DED4,1,2,408-3470438-9650702,407-2777615-7322733,,,
2025-11-05T04:00:00+04:00,6.7836.L114,B0052C21CG,BOM5,BOM5,1,5,407-5763919-9429960,406-6652160-0670753,,,
2025-11-05T04:00:00+04:00,4.1835,B000MLR5VY,BOM5,BOM5,1,0,407-8209223-1465138,407-7028860-5487503,,,
2025-11-05T04:00:00+04:00,FI-4Y39-7A2V,B082WSDFB6,HYD3,HYD3,1,0,405-3526484-3665925,404-3637357-5434714,,,
2025-11-05T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,BLR8,BLR8,1,2,408-1519873-1453931,404-0248583-7726744,,,
2025-11-05T04:00:00+04:00,Nutri fry 3.4,B0DG5TKLGG,DEL4,DEL4,1,2,408-5260893-9547556,171-9010734-0017140,,,
2025-11-05T04:00:00+04:00,04-ZLNL-EPRH,B0BBRRRXBY,MAA4,MAA4,1,2,408-6654901-0673160,403-2451592-0546755,,,
2025-11-05T04:00:00+04:00,79-6P2E-LXVO,B008KYX6JK,DEL5,DEL5,1,2,408-4612650-9105124,402-2376947-0670704,,,
2025-11-05T04:00:00+04:00,6.7733,B000WLFNL8,DEL5,DEL5,1,2,408-6269149-1981148,408-1067852-0089925,,,
2025-11-05T04:00:00+04:00,98051030,B0DS2K3HB1,BOM7,BOM7,1,4,408-9014462-7260349,405-5410672-2302725,,,
2025-11-05T04:00:00+04:00,INLSIN90700058,B0BYDBSXN4,DEL5,DEL5,1,0,407-5757847-4565133,407-3403036-7954766,,,
2025-11-05T04:00:00+04:00,612014,B09V1GJ7D6,BLR8,BLR8,1,2,408-6214802-9275555,402-3892521-6386731,,,
2025-11-05T04:00:00+04:00,ZY-H7FS-F5WY,B007PZKMSI,CCX2,CCX2,1,0,408-3181067-2553144,405-4084380-6155520,,,
2025-11-05T04:00:00+04:00,150709,B014HDJ7ZE,QWTT,QWTT,1,0,408-1332448-6445917,402-4296451-9741953,,,
2025-11-05T04:00:00+04:00,SU-MG03,B0DJH2J2FC,QWTT,QWTT,1,0,408-0719499-8109918,405-9950109-2987533,,,
2025-11-05T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,QWTT,QWTT,1,0,404-4234704-5663524,406-3638598-3605939,,,
2025-11-05T04:00:00+04:00,Tasty Fry CDW 5.5,B0FKGLDCV5,QWTT,QWTT,1,0,171-3032078-9796341,171-3734892-6133143,,,
